,count,mean,std,min,25%,50%,75%,max
duration,125973.0,287.1446500440571,2604.5153098675896,0.0,0.0,0.0,0.0,42908.0
protocol_type,125973.0,1.0532018765926032,0.4266195764791496,0.0,1.0,1.0,1.0,2.0
service,125973.0,31.22646916402721,16.346469901764394,0.0,20.0,24.0,49.0,69.0
flag,125973.0,6.97999571336715,2.6893648632556606,0.0,5.0,9.0,9.0,10.0
src_bytes,125973.0,45566.74300048423,5870331.181893551,0.0,0.0,44.0,276.0,1379963888.0
dst_bytes,125973.0,19779.114421344257,4021269.151441439,0.0,0.0,0.0,516.0,1309937401.0
land,125973.0,0.00019845522453224102,0.014086071671513097,0.0,0.0,0.0,0.0,1.0
wrong_fragment,125973.0,0.022687401268525795,0.2535299859520128,0.0,0.0,0.0,0.0,3.0
urgent,125973.0,0.00011113492573805498,0.014366026620154234,0.0,0.0,0.0,0.0,3.0
hot,125973.0,0.20440888126820828,2.149968433704761,0.0,0.0,0.0,0.0,77.0
num_failed_logins,125973.0,0.0012224841831186047,0.04523913898132981,0.0,0.0,0.0,0.0,5.0
logged_in,125973.0,0.3957355941352512,0.4890100530052412,0.0,0.0,0.0,1.0,1.0
num_compromised,125973.0,0.279250315543807,23.94204224279511,0.0,0.0,0.0,0.0,7479.0
root_shell,125973.0,0.0013415573178379495,0.0366028438397986,0.0,0.0,0.0,0.0,1.0
su_attempted,125973.0,0.0011034110483992602,0.045154383813865585,0.0,0.0,0.0,0.0,2.0
num_root,125973.0,0.30219173949973405,24.399618088837414,0.0,0.0,0.0,0.0,7468.0
num_file_creations,125973.0,0.012669381534138267,0.483935069396043,0.0,0.0,0.0,0.0,43.0
num_shells,125973.0,0.00041278686702706137,0.022181128678694182,0.0,0.0,0.0,0.0,2.0
num_access_files,125973.0,0.004096115834345455,0.09936955575066143,0.0,0.0,0.0,0.0,9.0
num_outbound_cmds,125973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_host_login,125973.0,7.938208981289641e-06,0.002817482738419109,0.0,0.0,0.0,0.0,1.0
is_guest_login,125973.0,0.009422654060790804,0.09661232709143108,0.0,0.0,0.0,0.0,1.0
count,125973.0,84.1075547934875,114.5086073541841,0.0,2.0,14.0,143.0,511.0
srv_count,125973.0,27.737888277646796,72.63583964723836,0.0,2.0,8.0,18.0,511.0
serror_rate,125973.0,0.2844845323998,0.4464556243310234,0.0,0.0,0.0,1.0,1.0
srv_serror_rate,125973.0,0.28248537384995204,0.447022498364017,0.0,0.0,0.0,1.0,1.0
rerror_rate,125973.0,0.11995848316702784,0.3204355207495171,0.0,0.0,0.0,0.0,1.0
srv_rerror_rate,125973.0,0.12118326943075104,0.32364722800546286,0.0,0.0,0.0,0.0,1.0
same_srv_rate,125973.0,0.6609276591015536,0.4396228624074802,0.0,0.09,1.0,1.0,1.0
diff_srv_rate,125973.0,0.06305263826375493,0.18031440750857483,0.0,0.0,0.0,0.06,1.0
srv_diff_host_rate,125973.0,0.09732164828971289,0.2598304981211585,0.0,0.0,0.0,0.0,1.0
dst_host_count,125973.0,182.14894461511594,99.20621303459785,0.0,82.0,255.0,255.0,255.0
dst_host_srv_count,125973.0,115.65300500900987,110.70274078086479,0.0,10.0,63.0,255.0,255.0
dst_host_same_srv_rate,125973.0,0.5212416946488534,0.44894936371767924,0.0,0.05,0.51,1.0,1.0
dst_host_diff_srv_rate,125973.0,0.08295110857088424,0.18892179990461463,0.0,0.0,0.02,0.07,1.0
dst_host_same_src_port_rate,125973.0,0.14837885896184103,0.30899713037298776,0.0,0.0,0.0,0.06,1.0
dst_host_srv_diff_host_rate,125973.0,0.03254244957252744,0.1125638048811898,0.0,0.0,0.0,0.02,1.0
dst_host_serror_rate,125973.0,0.28445246203551555,0.4447840503164888,0.0,0.0,0.0,1.0,1.0
dst_host_srv_serror_rate,125973.0,0.27848451652338196,0.4456691238860302,0.0,0.0,0.0,1.0,1.0
dst_host_rerror_rate,125973.0,0.11883181316631342,0.30655745802516937,0.0,0.0,0.0,0.0,1.0
dst_host_srv_rerror_rate,125973.0,0.12023989267541457,0.31945939045523164,0.0,0.0,0.0,0.0,1.0
label,125973.0,0.4654171925730117,0.49880457546470763,0.0,0.0,0.0,1.0,1.0
